Weatherpy_database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
335,Zavoi,RO,45.5167,22.4167,71.87,50,0,clear sky
336,Maragogi,BR,-9.0122,-35.2225,72.99,76,53,broken clouds
337,Hanstholm,DK,57.1167,8.6167,55.74,86,100,overcast clouds
338,Curuguaty,PY,-24.4694,-55.6945,68.18,69,60,broken clouds
339,Chumikan,RU,54.7183,135.315,68.83,65,23,few clouds
340,Quatre Cocos,MU,-20.2078,57.7625,68.11,71,98,light rain
341,Codrington,AU,-38.2667,141.9667,51.53,74,73,broken clouds
342,Port Blair,IN,11.6667,92.75,79.0,86,100,moderate rain
343,Tazovskiy,RU,67.4667,78.7,47.79,87,99,overcast clouds
344,Cabo San Lucas,MX,22.8909,-109.9124,94.51,68,7,clear sky
345,Tapes,BR,-30.6733,-51.3958,55.45,98,70,broken clouds
346,Lagos,NG,6.5833,3.75,79.12,86,95,overcast clouds
347,Katsuura,JP,35.1333,140.3,68.11,91,100,overcast clouds
348,Souillac,MU,-20.5167,57.5167,68.38,73,40,light rain
349,Samarai,PG,-10.6167,150.6667,79.0,84,41,scattered clouds
350,Jiaozuo,CN,35.2397,113.2331,74.48,81,98,overcast clouds
351,Anchorage,US,61.2181,-149.9003,65.55,54,1,clear sky
352,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.16,88,1,clear sky
353,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,94,0,clear sky
354,Deputatskiy,RU,69.3,139.9,43.52,72,100,overcast clouds
355,Blantyre,MW,-15.785,35.0085,55.31,91,39,scattered clouds
356,Dzerzhinskoye,RU,56.8344,95.2283,57.11,67,69,broken clouds
357,Sabang,ID,5.8933,95.3214,81.3,72,100,light rain
358,Tessalit,ML,20.1986,1.0114,95.72,19,38,scattered clouds
359,Qinzhou,CN,21.95,108.6167,80.26,86,66,light rain
360,Dunedin,NZ,-45.8742,170.5036,54.81,41,90,overcast clouds
361,Na Wa,TH,17.4897,104.1006,73.11,98,100,overcast clouds
362,Kodinsk,RU,58.6881,99.1844,55.4,84,70,broken clouds
363,Fortuna,US,40.5982,-124.1573,71.92,76,40,scattered clouds
364,Barmer,IN,25.75,71.3833,79.39,71,79,broken clouds
365,High Rock,BS,26.6208,-78.2833,86.02,73,100,overcast clouds
366,Bressuire,FR,46.9167,-0.5,63.05,71,24,few clouds
367,Columbus,US,39.9612,-82.9988,76.46,66,75,broken clouds
368,Namatanai,PG,-3.6667,152.4333,83.17,71,71,light rain
369,Basseterre,KN,17.2948,-62.7261,82.78,83,40,scattered clouds
370,Vigrestad,NO,58.5667,5.7,53.96,81,100,overcast clouds
371,Brownsville,US,25.9018,-97.4975,90.01,67,39,scattered clouds
372,Kasongo-Lunda,CD,-6.4667,16.8167,84.0,37,86,overcast clouds
373,Rio Grande,BR,-32.035,-52.0986,56.95,85,2,clear sky
374,Zeya,RU,53.75,127.2667,66.97,67,8,clear sky
375,Kavaratti,IN,10.5669,72.642,81.01,79,87,overcast clouds
376,Hami,CN,42.8,93.45,77.13,39,100,overcast clouds
377,Progreso,MX,21.2833,-89.6667,86.11,68,59,broken clouds
378,Goderich,CA,43.7501,-81.7165,76.03,60,0,clear sky
379,Carnarvon,AU,-24.8667,113.6333,59.07,69,90,overcast clouds
380,Chortomlyk,UA,47.6232,34.142,71.65,46,69,broken clouds
381,Meulaboh,ID,4.1363,96.1285,75.29,88,100,heavy intensity rain
382,Juigalpa,NI,12.1063,-85.3645,84.11,74,40,scattered clouds
383,Tura,IN,25.5198,90.2201,74.39,97,99,overcast clouds
384,Ozinki,RU,51.1786,49.6769,76.08,20,100,overcast clouds
385,Narsaq,GL,60.9167,-46.05,50.45,98,98,moderate rain
